,coach,block,start_per,end_per,TAVG,TMAX,TMIN,tempdif,day_of_week,month,tempF,windspeedMiles,winddirdegree,weatherCode,precipInches,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex,block_mileage
28,7501.0,7773,100.0,49.0,65.0,74.0,53.0,21.0,0.0,4.0,74.5,6.1,264.6,113.0,0.0,37.4,6.0,30.9,0.0,74.0,44.3,74.5,6.9,73.7,5.9,167.3
29,7505.0,7772,100.0,11.0,71.0,79.0,63.0,16.0,1.0,4.0,81.0,4.7,244.4,113.0,0.0,32.2,6.0,30.0,6.7,79.3,47.5,81.0,6.0,79.3,6.7,145.9
30,7504.0,7774,100.0,33.0,71.0,79.0,63.0,16.0,1.0,4.0,81.0,4.7,244.4,113.0,0.0,32.2,6.0,30.0,6.7,79.3,47.5,81.0,6.0,79.3,6.7,105.9
31,7501.0,7773,97.0,47.0,71.0,79.0,63.0,16.0,1.0,4.0,81.0,4.7,244.4,113.0,0.0,32.2,6.0,30.0,6.7,79.3,47.5,81.0,6.0,79.3,6.7,167.3
32,7505.0,7772,100.0,27.0,75.0,82.0,69.0,13.0,2.0,4.0,86.4,3.0,212.4,113.0,0.0,37.1,6.0,30.0,1.5,86.7,56.4,86.4,3.7,86.7,7.1,145.9
33,7504.0,7774,100.0,31.0,75.0,82.0,69.0,13.0,2.0,4.0,86.4,3.0,212.4,113.0,0.0,37.1,6.0,30.0,1.5,86.7,56.4,86.4,3.7,86.7,7.1,105.9
34,7501.0,7773,100.0,48.0,75.0,82.0,69.0,13.0,2.0,4.0,86.4,3.0,212.4,113.0,0.0,37.1,6.0,30.0,1.5,86.7,56.4,86.4,3.7,86.7,7.1,167.3
35,7505.0,7772,100.0,38.0,53.0,63.0,44.0,19.0,0.0,4.0,67.2,3.5,219.2,113.0,0.0,51.9,6.0,30.0,4.1,68.0,48.4,67.1,4.0,67.5,5.2,145.9
36,7504.0,7774,100.0,32.0,53.0,63.0,44.0,19.0,0.0,4.0,67.2,3.5,219.2,113.0,0.0,51.9,6.0,30.0,4.1,68.0,48.4,67.1,4.0,67.5,5.2,105.9
37,7501.0,7773,100.0,53.0,53.0,63.0,44.0,19.0,0.0,4.0,67.2,3.5,219.2,113.0,0.0,51.9,6.0,30.0,4.1,68.0,48.4,67.1,4.0,67.5,5.2,167.3
38,7505.0,7772,100.0,33.0,52.0,61.0,47.0,14.0,1.0,4.0,63.9,7.0,210.0,114.5,0.0,55.2,6.0,30.0,17.8,63.9,46.8,63.7,8.1,63.7,4.6,145.9
39,7504.0,7774,100.0,33.0,52.0,61.0,47.0,14.0,1.0,4.0,63.9,7.0,210.0,114.5,0.0,55.2,6.0,30.0,17.8,63.9,46.8,63.7,8.1,63.7,4.6,105.9
40,7501.0,7773,100.0,52.0,52.0,61.0,47.0,14.0,1.0,4.0,63.9,7.0,210.0,114.5,0.0,55.2,6.0,30.0,17.8,63.9,46.8,63.7,8.1,63.7,4.6,167.3
41,7505.0,7772,100.0,35.0,58.0,68.0,49.0,19.0,2.0,5.0,69.1,2.7,265.2,113.0,0.0,40.9,6.0,30.6,7.7,69.5,42.7,69.1,3.2,69.5,5.3,145.9
42,7501.0,7774,100.0,42.0,58.0,68.0,49.0,19.0,2.0,5.0,69.1,2.7,265.2,113.0,0.0,40.9,6.0,30.6,7.7,69.5,42.7,69.1,3.2,69.5,5.3,105.9
43,7503.0,7773,96.0,47.0,58.0,68.0,49.0,19.0,2.0,5.0,69.1,2.7,265.2,113.0,0.0,40.9,6.0,30.6,7.7,69.5,42.7,69.1,3.2,69.5,5.3,167.3
44,7505.0,7772,100.0,36.0,62.0,70.0,54.0,16.0,3.0,5.0,73.0,3.6,263.7,113.0,0.0,30.1,6.0,30.6,5.4,72.6,38.9,73.0,4.3,72.4,5.7,145.9
45,7503.0,7774,100.0,31.0,62.0,70.0,54.0,16.0,3.0,5.0,73.0,3.6,263.7,113.0,0.0,30.1,6.0,30.6,5.4,72.6,38.9,73.0,4.3,72.4,5.7,105.9
46,7504.0,7773,100.0,53.0,62.0,70.0,54.0,16.0,3.0,5.0,73.0,3.6,263.7,113.0,0.0,30.1,6.0,30.6,5.4,72.6,38.9,73.0,4.3,72.4,5.7,167.3
47,7505.0,7772,100.0,31.0,64.0,72.0,55.0,17.0,4.0,5.0,74.3,3.3,244.5,113.0,0.0,32.2,6.0,30.0,4.4,73.3,41.3,74.3,4.1,73.3,5.9,145.9
48,7503.0,7774,100.0,30.0,64.0,72.0,55.0,17.0,4.0,5.0,74.3,3.3,244.5,113.0,0.0,32.2,6.0,30.0,4.4,73.3,41.3,74.3,4.1,73.3,5.9,105.9
49,7501.0,7773,100.0,49.0,64.0,72.0,55.0,17.0,4.0,5.0,74.3,3.3,244.5,113.0,0.0,32.2,6.0,30.0,4.4,73.3,41.3,74.3,4.1,73.3,5.9,167.3
50,7501.0,7772,100.0,36.0,51.0,60.0,45.0,15.0,0.0,5.0,63.4,5.2,226.2,113.6,0.0,57.7,6.0,30.0,19.6,63.4,47.7,63.3,5.7,63.3,4.6,145.9
51,7502.0,7771,100.0,13.0,51.0,60.0,45.0,15.0,0.0,5.0,63.4,5.2,226.2,113.6,0.0,57.7,6.0,30.0,19.6,63.4,47.7,63.3,5.7,63.3,4.6,107.0
52,7503.0,7774,100.0,34.0,51.0,60.0,45.0,15.0,0.0,5.0,63.4,5.2,226.2,113.6,0.0,57.7,6.0,30.0,19.6,63.4,47.7,63.3,5.7,63.3,4.6,105.9
53,7504.0,7773,98.0,52.0,51.0,60.0,45.0,15.0,0.0,5.0,63.4,5.2,226.2,113.6,0.0,57.7,6.0,30.0,19.6,63.4,47.7,63.3,5.7,63.3,4.6,167.3
54,7502.0,7771,100.0,12.0,54.0,64.0,46.0,18.0,1.0,5.0,68.6,4.2,230.1,113.6,0.0,52.3,6.0,31.0,13.1,70.3,49.6,68.8,4.7,69.9,5.3,107.0
55,7501.0,7772,100.0,37.0,54.0,64.0,46.0,18.0,1.0,5.0,68.6,4.2,230.1,113.6,0.0,52.3,6.0,31.0,13.1,70.3,49.6,68.8,4.7,69.9,5.3,145.9
56,7504.0,7774,100.0,40.0,54.0,64.0,46.0,18.0,1.0,5.0,68.6,4.2,230.1,113.6,0.0,52.3,6.0,31.0,13.1,70.3,49.6,68.8,4.7,69.9,5.3,105.9
57,7503.0,7773,100.0,52.0,54.0,64.0,46.0,18.0,1.0,5.0,68.6,4.2,230.1,113.6,0.0,52.3,6.0,31.0,13.1,70.3,49.6,68.8,4.7,69.9,5.3,167.3
58,7503.0,7771,100.0,16.0,56.0,69.0,46.0,23.0,2.0,5.0,73.6,3.3,226.1,113.0,0.0,49.4,6.0,30.1,2.5,74.6,52.9,73.6,3.9,74.4,5.7,107.0
59,7504.0,7774,100.0,38.0,56.0,69.0,46.0,23.0,2.0,5.0,73.6,3.3,226.1,113.0,0.0,49.4,6.0,30.1,2.5,74.6,52.9,73.6,3.9,74.4,5.7,105.9
60,7501.0,7773,81.0,29.0,56.0,69.0,46.0,23.0,2.0,5.0,73.6,3.3,226.1,113.0,0.0,49.4,6.0,30.1,2.5,74.6,52.9,73.6,3.9,74.4,5.7,167.3
