"DateTime","2605 - Energy consumed driving","2605 - Distance driven"
"2019-04-26 00:00:00",1.90736,0.7176837270341208
"2019-04-29 00:00:00",197.86111,82.51498747315678
"2019-05-01 00:00:00",230.52665586206888,94.39602635776721
"2019-05-02 00:00:00",336.79071751247386,150.12804915163412
"2019-05-03 00:00:00",390.3666466254572,156.43122056154425
"2019-05-05 00:00:00",0.6908499999999549,0.21126620536064267
"2019-05-06 00:00:00",224.17896180000002,91.42451427009605
"2019-05-07 00:00:00",383.8575718000002,161.5524670260015
"2019-05-08 00:00:00",478.2389971428572,203.50881164336565
"2019-05-09 00:00:00",334.10117285714296,162.11221158100395
"2019-05-10 00:00:00",203.03051000000005,88.55471546170371
"2019-05-11 00:00:00",0.15200999999979103,0.09009882287440212
"2019-05-12 00:00:00",0.20710000000008222,0.07145768710729905
"2019-05-13 00:00:00",424.4423700000002,173.78509504493746
"2019-05-14 00:00:00",337.19365862565155,148.10716105867806
"2019-05-15 00:00:00",236.00311137434846,112.1603765218517
"2019-05-16 00:00:00",424.07401436363716,179.3795890724349
"2019-05-17 00:00:00",307.0223571832621,127.38515482321424
"2019-05-18 00:00:00",1.163078453100752,0.5903026326253542
"2019-05-19 00:00:00",387.01480999999967,163.02294599538672
"2019-05-20 00:00:00",326.31514999999945,134.87483098703566
"2019-05-21 00:00:00",233.29485999999997,102.9021762904637
"2019-05-22 00:00:00",262.0426232531836,124.204858641866
"2019-05-23 00:00:00",336.1524567468168,152.56629780448733
"2019-05-24 00:00:00",225.5005200000005,97.55527718126143
"2019-05-25 00:00:00",113.61250999999993,56.97663147220272
"2019-05-26 00:00:00",0.45715999999993073,0.31379245207992146
"2019-05-27 00:00:00",2.1736399999999776,0.562340928974629
"2019-05-28 00:00:00",499.6064100000003,189.76676210928156
"2019-05-29 00:00:00",357.7114300000003,157.35604072218288
"2019-05-30 00:00:00",302.93997000000036,123.70257695060897
"2019-05-31 00:00:00",358.49442,152.90702298576366
"2019-06-02 00:00:00",1.2573499999998603,0.8512785333656449
"2019-06-03 00:00:00",352.8338899999999,160.57163664201065
"2019-06-04 00:00:00",1.6122099999993225,1.1650709854450012
"2019-06-05 00:00:00",292.4287599999989,126.81564662371757
"2019-06-06 00:00:00",521.1489961570678,190.03152806371028
"2019-06-07 00:00:00",320.8119038429322,146.72058956931275
"2019-06-09 00:00:00",0.527009999999791,0.1864113576713132
"2019-06-10 00:00:00",484.26973,189.20131432434567
"2019-06-11 00:00:00",168.22383999999875,63.7154020520162
"2019-06-12 00:00:00",247.010839999999,96.22554282987333
"2019-06-13 00:00:00",182.09164000000055,82.41246122643767
"2019-06-14 00:00:00",186.79019999999946,93.1590759961824
"2019-06-16 00:00:00",0.7883700000002136,0.3945707070708427
"2019-06-17 00:00:00",252.5918500000007,98.09587011850783
"2019-06-18 00:00:00",151.6577099999995,65.70378986717556
"2019-06-19 00:00:00",291.8250700000008,128.7077219040803
"2019-06-20 00:00:00",149.90721000000121,74.0301638431556
"2019-06-21 00:00:00",255.9791699999987,103.74724111190655
"2019-06-22 00:00:00",534.0723455999996,229.44231935496697
"2019-06-23 00:00:00",306.30878440000015,143.89613407698977
"2019-06-24 00:00:00",277.50328691297545,125.5666905273204
"2019-06-25 00:00:00",446.62699308702395,190.20172194384813
"2019-06-26 00:00:00",389.1179800000009,176.62786824942285
"2019-06-27 00:00:00",88.5987499999992,37.72655193668982
"2019-06-28 00:00:00",372.553609999999,166.73874572496626
"2019-06-29 00:00:00",1.1180999999996857,0.5654477849358834
"2019-06-30 00:00:00",0.3077800000010029,0.22680048516649126
"2019-07-01 00:00:00",377.85701999999947,157.71643601367992
"2019-07-02 00:00:00",424.93461000000025,174.92220432673088
"2019-07-03 00:00:00",262.94059000000016,92.12138610514543
"2019-07-04 00:00:00",235.51871000000028,95.75019386781157
"2019-07-05 00:00:00",475.1938600000012,190.57765151515147
"2019-07-06 00:00:00",0.5640300000013667,0.2205867732439823
"2019-07-07 00:00:00",0.4963599999991857,0.2019456374764554
"2019-07-08 00:00:00",448.54817,179.49549630159916
"2019-07-09 00:00:00",434.9904800000004,171.8868060526525
"2019-07-10 00:00:00",288.89478999999847,120.46833989501312
"2019-07-11 00:00:00",206.7727399999967,88.0980076354096
"2019-07-12 00:00:00",361.5703199999989,147.69993239481474
"2019-07-14 00:00:00",1.0247600000002421,0.6617603197330771
"2019-07-15 00:00:00",555.4395476794853,233.31120522657545
"2019-07-16 00:00:00",569.2050823205136,249.48489057394983
"2019-07-17 00:00:00",221.70106999999916,107.51056000287068
"2019-07-18 00:00:00",302.845036081133,139.23621204723443
"2019-07-19 00:00:00",465.4309939188679,211.25350632418898
"2019-07-22 00:00:00",325.11810193972997,138.10878352650371
"2019-07-23 00:00:00",209.74492806027047,91.26417837598537
"2019-07-24 00:00:00",554.3000834433042,208.04371116533855
"2019-07-25 00:00:00",229.93582655669525,111.75118663152877
"2019-07-26 00:00:00",574.3671292016188,228.49682852143454
"2019-07-27 00:00:00",0.3122307983794599,0.1584496540211531
"2019-07-28 00:00:00",3.6569200000012643,1.6124582438554746
"2019-07-29 00:00:00",534.9622575820467,213.53584046823354
"2019-07-30 00:00:00",636.4315627427095,257.4951332427111
"2019-07-31 00:00:00",421.87819179537473,201.89031086959653
"2019-08-01 00:00:00",341.1377378798679,149.84252477283545
"2019-08-02 00:00:00",80.19224537800619,43.60973718467329
"2019-08-03 00:00:00",267.08833462199254,101.16353689470301
"2019-08-04 00:00:00",616.4300999999978,244.79228803785773
