,DateTime,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,mpp
418,2019-08-22,,Opr_C,coach_7505,block_7774,75,54,53,30,107,40,20.4,20.4,2.35
430,2019-08-27,REG,Opr_A,coach_7505,block_7774,0,23,100,90,182,160,20.4,20.4,2.3
431,2019-08-27,REG,Opr_B,coach_7505,block_7774,23,52,90,53,160,94,20.4,20.4,1.41
432,2019-08-27,REG,Opr_C,coach_7505,block_7774,75,54,53,20,94,28,20.4,20.2,1.64
456,2019-09-04,REG,Opr_A,coach_7505,block_7771,0,110,100,45,212,87,24.6,24.4,2.0
457,2019-09-04,REG,Opr_B,coach_7505,block_7771,110,49,45,7,87,10,24.4,23.2,1.29
468,2019-09-05,REG,Opr_A,coach_7505,block_7771,0,110,100,53,200,97,23.2,23.8,2.34
469,2019-09-05,REG,Opr_B,coach_7505,block_7771,110,49,53,20,97,33,23.8,23.4,1.48
478,2019-09-06,REG,Opr_A,coach_7505,block_7771,0,110,100,48,193,89,23.4,23.6,2.12
479,2019-09-06,REG,Opr_B,coach_7505,block_7771,110,49,48,14,89,23,23.6,23.2,1.44
490,2019-09-09,REG,Opr_A,coach_7505,block_7771,0,110,100,47,190,85,23.2,23.4,2.08
491,2019-09-09,REG,Opr_B,coach_7505,block_7771,110,49,47,11,85,14,23.4,23,1.36
499,2019-09-10,REG,Opr_A,coach_7505,block_7771,0,110,100,48,198,90,23,23.4,2.12
500,2019-09-10,REG,Opr_B,coach_7505,block_7771,110,49,48,15,90,12,23.4,23,1.48
507,2019-09-11,XB,Opr_A,coach_7505,block_7771,0,110,100,33,197,50,23,22.4,1.64
508,2019-09-11,REG,Opr_B,coach_7505,block_7771,110,40,33,3,50,4,20.4,22,1.33
517,2019-09-12,,Opr_A,coach_7505,block_7773,0,85,100,45,193,76,22.6,22.2,1.55
519,2019-09-13,,Opr_A,coach_7505,block_7772,0,50,100,77,191,133,22.2,22.2,2.17
520,2019-09-13,,Opr_B,coach_7505,block_7772,50,69,77,12,133,15,22.2,21.8,1.06
533,2019-09-23,REG,Opr_A,coach_7505,block_7774,0,23,100,90,186,163,22.2,22.2,2.3
534,2019-09-23,REG,Opr_B,coach_7505,block_7774,23,52,90,52,163,100,22.2,22.2,1.37
535,2019-09-23,REG,Opr_C,coach_7505,block_7774,75,54,52,20,100,30,22.2,22,1.69
543,2019-09-25,REG,Opr_A,coach_7505,block_7773,0,50,100,70,155,105,18.4,18.4,1.67
548,2019-09-26,REG,Opr_A,coach_7505,block_7772,0,50,100,75,159,122,18.4,20.2,2.0
549,2019-09-26,ME,Opr_B,coach_7505,block_7772,50,70,75,40,122,65,20.2,21.8,2.0
