,DateTime,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,mpp
1661,2020-10-26,XB371,Opr_3,coach_7505,block_7771,86,80,66%,23%,126,40,25,25,1.86
1669,2020-10-27,REG420,Opr_1,coach_7505,block_7771,0,48,100%,79%,205,153,25,25,2.29
1670,2020-10-27,XB724,Opr_2,coach_7505,block_7771,48,38,79%,63%,153,123,25,25,2.38
1671,2020-10-27,HXB149,Opr_3,coach_7505,block_7771,86,80,63%,23%,123,43,25,25.2,2.0
1679,2020-10-28,REG420,Opr_1,coach_7505,block_7771,0,48,100%,78%,208,160,25.2,25.2,2.18
1680,2020-10-28,GRP473,Opr_2,coach_7505,block_7771,48,38,78%,60%,160,115,25.2,25.2,2.11
1681,2020-10-28,GRP376,Opr_3,coach_7505,block_7771,86,80,60%,22%,115,35,25.2,25.2,2.11
1689,2020-10-29,REG420,Opr_1,coach_7505,block_7771,0,48,98%,78%,197,149,25.2,25.2,2.4
1690,2020-10-29,GRP473,Opr_2,coach_7505,block_7771,48,38,78%,58%,149,110,25.2,25.2,1.9
1691,2020-10-29,GRP376,Opr_3,coach_7505,block_7771,86,80,58%,20%,110,31,25.2,25.2,2.11
1699,2020-10-30,REG420,Opr_1,coach_7505,block_7771,0,48,100%,77%,210,146,25.4,25.2,2.09
1700,2020-10-30,XB626,Opr_2,coach_7505,block_7771,48,PULL IN,77%,PULL IN,146,PULL IN,25.2,PULL IN,
1701,2020-10-30,HXB149,Opr_3,coach_7505,block_7771,PULL IN,PULL IN,PULL IN,PULL IN,PULL IN,PULL IN,PULL IN,PULL IN,
1721,2020-11-04,REG420,Opr_1,coach_7505,block_7771,0,48,100%,77%,205,150,25.2,25,2.09
1722,2020-11-04,XB797,Opr_2,coach_7505,block_7771,48,38,77%,52%,150,100,25,25,1.52
1723,2020-11-04,GRP376,Opr_3,coach_7505,block_7771,86,80,52%,15%,100,20,25,25,2.16
1738,2020-11-06,XB720,Opr_1,coach_7505,block_7771,0,48,100%,77%,201,150,25,25,2.09
1739,2020-11-06,XB161,Opr_2,coach_7505,block_7771,48,38,77%,62%,150,118,25,25.2,2.53
1740,2020-11-06,HXB149,Opr_3,coach_7505,block_7771,86,80,62%,22%,118,38,25.2,25.2,2.0
1755,2020-11-09,REG396,Opr_8,coach_7505,block_7072,0,66,100%,65%,197,124,25.2,25.2,1.89
1756,2020-11-09,GRP376,Opr_9,coach_7505,block_7072,66,85,65%,23%,124,40,25.2,25.2,2.02
1765,2020-11-10,REG396,Opr_8,coach_7505,block_7072,151,66,93%,56%,186,104,25.2,25,1.78
1766,2020-11-10,GRP376,Opr_9,coach_7505,block_7072,66,85,56%,15%,104,23,25,25.2,2.07
1825,2020-11-18,REG360,Opr_6,coach_7505,block_7071,0,87,100%,45%,200,82,25.2,25,1.58
1826,2020-11-18,REG671,Opr_7,coach_7505,block_7071,87,48,45%,24%,82,39,25,25,2.29
1838,2020-11-19,REG360,Opr_6,coach_7505,block_7071,0,87,100%,45%,200,82,25,24.8,1.58
1839,2020-11-19,REG671,Opr_7,coach_7505,block_7071,87,48,45%,25%,82,40,24.8,24.8,2.4
1851,2020-11-20,REG396,Opr_8,coach_7505,block_7072,0,66,100%,68%,203,127,24.8,24.8,2.06
1852,2020-11-20,REG585,Opr_9,coach_7505,block_7072,66,Pulled,68%,Pulled,127,Pulled,24.8,Pulled,
1861,2020-11-24,REG396,Opr_8,coach_7505,block_7072,0,66,100%,68%,200,128,24.8,24.8,2.06
1862,2020-11-24,GRP376,Opr_9,coach_7505,block_7072,66,85,68%,28%,128,47,24.8,25,2.13
1871,2020-11-25,REG396,Opr_8,coach_7505,block_7072,0,66,100%,67%,204,128,25,25,2.0
1872,2020-11-25,REG585,Opr_9,coach_7505,block_7072,66,85,67%,20%,128,25,25,24.8,1.81
1888,2020-12-02,REG396,Opr_8,coach_7505,block_7072,0,66,100%,62%,197,116,24.8,24.8,1.74
1889,2020-12-02,REG585,Opr_9,coach_7505,block_7072,66,85,62%,19%,116,31,24.8,24.8,1.98
1898,2020-12-03,REG396,Opr_8,coach_7505,block_7072,0,66,98%,61%,190,114,24.8,24.8,1.78
1899,2020-12-03,REG585,Opr_9,coach_7505,block_7072,66,45,61%,35%,114,70,24.8,24.8,1.73
1901,2020-12-04,REG420,Opr_1,coach_7505,block_7771,0,48,100%,65%,196,118,24.8,24.6,1.37
1902,2020-12-04,XB088,Opr_2,coach_7505,block_7771,48,38,65%,48%,118,86,24.6,24.6,2.24
1903,2020-12-04,HXB149,Opr_3,coach_7505,block_7771,86,80,48%,5%,86,10,24.6,24.6,1.86
1915,2020-12-07,XB317,Opr_8,coach_7505,block_7072,0,66,100%,67%,224,129,28.6,25.6,2.0
1916,2020-12-07,GRP376,Opr_9,coach_7505,block_7072,66,85,67%,28%,129,54,25.6,27,2.18
1922,2020-12-08,REG109,Opr_4,coach_7505,block_7772,0,,100%,EARLY,222,IN,26.8,PULL,
1937,2020-12-10,XB421,Opr_1,coach_7505,block_7771,0,48,100%,68%,205,122,25.8,24.4,1.5
1938,2020-12-10,GRP479,Opr_2,coach_7505,block_7771,48,38,68%,49%,122,89,24.4,24.6,2.0
1939,2020-12-10,GRP376,Opr_3,coach_7505,block_7771,86,80,49%,15%,89,21,24.6,25.4,2.35
1957,2020-12-14,REG019,Opr_4,coach_7505,block_7772,0,87,100%,52%,203,94,25,24.6,1.81
1958,2020-12-14,HXB800,Opr_5,coach_7505,block_7772,87,83,52%,9%,94,9,24.6,24.8,1.93
1963,2020-12-15,REG558,Opr_1,coach_7505,block_7771,0,29%,100%,71%,202,131,24.8,24.4,2.18
1964,2020-12-15,HXB104,Opr_2,coach_7505,block_7771,48,18%,71%,53%,131,97,24.4,24.6,1.71
1965,2020-12-15,HXB149,Opr_3,coach_7505,block_7771,86,39%,53%,14%,97,20,24.6,24.8,1.73
1973,2020-12-16,REG558,Opr_1,coach_7505,block_7771,0,27%,100%,73%,202,134,24.8,24.4,2.03
1974,2020-12-16,GRP473,Opr_2,coach_7505,block_7771,48,17%,73%,56%,134,102,24.4,24.6,1.61
1975,2020-12-16,GRP376,Opr_3,coach_7505,block_7771,86,36%,56%,20%,102,31,24.6,24.8,1.6
1980,2020-12-17,REG558,Opr_1,coach_7505,block_7771,0,22%,100%,78%,206,147,24.8,24.8,1.65
1981,2020-12-17,GRP473,Opr_2,coach_7505,block_7771,48,17%,78%,61%,147,114,24.8,25,1.61
1982,2020-12-17,GRP376,Opr_3,coach_7505,block_7771,86,36%,61%,25%,114,39,25,25.2,1.51
1996,2020-12-22,REG558,Opr_1,coach_7505,block_7771,0,23%,100%,77%,205,145,25.2,25,1.73
1997,2020-12-22,HXB104,Opr_2,coach_7505,block_7771,48,20%,77%,57%,145,107,25,25,1.89
1998,2020-12-22,HXB149,Opr_3,coach_7505,block_7771,86,45%,57%,12%,107,15,25,25,2.03
2006,2020-12-23,REG558,Opr_1,coach_7505,block_7771,0,26%,100%,74%,198,136,25,24.8,1.95
2007,2020-12-23,GRP473,Opr_2,coach_7505,block_7771,48,18%,74%,56%,136,103,24.8,24.8,1.71
2008,2020-12-23,GRP376,Opr_3,coach_7505,block_7771,86,38%,56%,18%,103,28,24.8,25,1.71
2016,2020-12-24,REG558,Opr_1,coach_7505,block_7771,0,25%,100%,75%,204,138,25,24.8,1.88
2017,2020-12-24,XB473,Opr_2,coach_7505,block_7771,48,18%,75%,57%,138,104,24.8,24.8,1.71
2018,2020-12-24,GRP376,Opr_3,coach_7505,block_7771,86,14%,57%,43%,104,77,24.8,25,2.19
2026,2020-12-29,REG558,Opr_1,coach_7505,block_7771,0,24%,100%,76%,206,141,24.8,24.8,1.8
2027,2020-12-29,XB285,Opr_2,coach_7505,block_7771,48,16%,76%,60%,141,109,24.8,24.8,1.52
2028,2020-12-29,HXB149,Opr_3,coach_7505,block_7771,86,43%,60%,17%,109,26,24.8,24.8,1.94
2036,2020-12-30,REG558,Opr_1,coach_7505,block_7771,0,26%,100%,74%,203,135,24.8,24.8,1.95
2037,2020-12-30,GRP473,Opr_2,coach_7505,block_7771,48,18%,74%,56%,135,100,24.8,24.8,1.71
2038,2020-12-30,GRP376,Opr_3,coach_7505,block_7771,86,37%,56%,19%,100,28,24.8,24,1.67
