"DateTime","2605 - ODO"
"2019-04-26 00:00:00",8332.988472321642
"2019-04-29 00:00:00",8415.550062634216
"2019-05-01 00:00:00",8716.539582987052
"2019-05-02 00:00:00",8867.364590789788
"2019-05-03 00:00:00",9023.797895291498
"2019-05-05 00:00:00",9024.012268352819
"2019-05-06 00:00:00",9163.625990780409
"2019-05-07 00:00:00",9325.17845780641
"2019-05-08 00:00:00",9528.690376305738
"2019-05-09 00:00:00",9690.802587886741
"2019-05-10 00:00:00",9779.360410204406
"2019-05-11 00:00:00",9779.453615883242
"2019-05-12 00:00:00",9779.52818042631
"2019-05-13 00:00:00",9953.316382327208
"2019-05-14 00:00:00",10101.466808836396
"2019-05-15 00:00:00",10213.627415891197
"2019-05-16 00:00:00",10393.01011181959
"2019-05-17 00:00:00",10520.395266642805
"2019-05-18 00:00:00",10521.019744691004
"2019-05-19 00:00:00",10684.1141483735
"2019-05-20 00:00:00",10818.992086216494
"2019-05-21 00:00:00",10921.89736936292
"2019-05-22 00:00:00",11046.10325697924
"2019-05-23 00:00:00",11198.671632665235
"2019-05-24 00:00:00",11296.233123558419
"2019-05-25 00:00:00",11353.268785293883
"2019-05-26 00:00:00",11353.585684601925
"2019-05-27 00:00:00",11354.2039489382
"2019-05-28 00:00:00",11544.032848166706
"2019-05-29 00:00:00",11701.391995744849
"2019-05-30 00:00:00",11825.09767955142
"2019-05-31 00:00:00",11978.007809393144
"2019-06-02 00:00:00",11978.86219478247
"2019-06-03 00:00:00",12139.436938280442
"2019-06-04 00:00:00",12140.605116121847
"2019-06-05 00:00:00",12267.426976457487
"2019-06-06 00:00:00",12457.460928179431
"2019-06-07 00:00:00",12604.182200946472
"2019-06-09 00:00:00",12604.371719160104
"2019-06-10 00:00:00",12793.576140340412
"2019-06-11 00:00:00",12857.29464924839
"2019-06-12 00:00:00",12953.563688061718
"2019-06-13 00:00:00",13035.979256144117
"2019-06-14 00:00:00",13129.141438996261
"2019-06-16 00:00:00",13129.551543983138
"2019-06-17 00:00:00",13227.650520957608
"2019-06-18 00:00:00",13293.357417680743
"2019-06-19 00:00:00",13422.068246440786
"2019-06-20 00:00:00",13496.101517139903
"2019-06-21 00:00:00",13599.85186510777
"2019-06-22 00:00:00",13829.297291318699
"2019-06-23 00:00:00",13973.193425395688
"2019-06-24 00:00:00",14098.76322277897
"2019-06-25 00:00:00",14289.027081842041
"2019-06-26 00:00:00",14465.658056947426
"2019-06-27 00:00:00",14503.387715740077
"2019-06-28 00:00:00",14670.129568321005
"2019-06-29 00:00:00",14670.698122961901
"2019-06-30 00:00:00",14670.92803030303
"2019-07-01 00:00:00",14828.647573172671
"2019-07-02 00:00:00",15003.582204923248
"2019-07-03 00:00:00",15095.706697884354
"2019-07-04 00:00:00",15191.459998608128
"2019-07-05 00:00:00",15382.04075697924
"2019-07-06 00:00:00",15382.264450608447
"2019-07-07 00:00:00",15382.469503101884
"2019-07-08 00:00:00",15561.971213115405
"2019-07-09 00:00:00",15733.86112602402
"2019-07-10 00:00:00",15854.332572774994
"2019-07-11 00:00:00",15942.433687266364
"2019-07-12 00:00:00",16090.13672651714
"2019-07-14 00:00:00",16090.835769108406
"2019-07-15 00:00:00",16324.176186073331
"2019-07-16 00:00:00",16573.662933468542
"2019-07-17 00:00:00",16681.176600327377
"2019-07-18 00:00:00",16820.41254076195
"2019-07-19 00:00:00",17031.666318698797
"2019-07-22 00:00:00",17169.77538674143
"2019-07-23 00:00:00",17261.415210172592
"2019-07-24 00:00:00",17469.465819613455
"2019-07-25 00:00:00",17581.499045573848
"2019-07-26 00:00:00",17811.564836355683
"2019-07-27 00:00:00",17811.772995705083
"2019-07-28 00:00:00",17813.3885608049
"2019-07-29 00:00:00",18026.92587787322
"2019-07-30 00:00:00",18284.42209993637
"2019-07-31 00:00:00",18486.311814006203
"2019-08-01 00:00:00",18636.155477014236
"2019-08-02 00:00:00",18679.766414141413
"2019-08-03 00:00:00",18780.931857949574
"2019-08-04 00:00:00",19025.739680267237
"2019-08-05 00:00:00",19201.305003777936
"2019-08-06 00:00:00",19334.439995426706
"2019-08-07 00:00:00",19455.492424242424
"2019-08-08 00:00:00",19649.270137397598
"2019-08-09 00:00:00",19788.889137437363
"2019-08-10 00:00:00",19789.60371430844
"2019-08-12 00:00:00",19997.377813568757
"2019-08-13 00:00:00",20149.70385448978
"2019-08-14 00:00:00",20236.049595363078
"2019-08-15 00:00:00",20465.61518233516
"2019-08-16 00:00:00",20655.79515628728
"2019-08-17 00:00:00",20859.806852978603
"2019-08-18 00:00:00",21011.415210172592
"2019-08-19 00:00:00",21164.452721108726
"2019-08-20 00:00:00",21281.42032716436
"2019-08-21 00:00:00",21498.01720452557
"2019-08-22 00:00:00",21622.128721910572
"2019-08-23 00:00:00",21799.99117652907
"2019-08-24 00:00:00",21800.295648413266
"2019-08-25 00:00:00",21966.71438797423
"2019-08-26 00:00:00",22099.97986757337
"2019-08-27 00:00:00",22244.49527260797
"2019-08-28 00:00:00",22411.992091187465
"2019-08-29 00:00:00",22617.14089716058
"2019-08-30 00:00:00",22697.66749681858
"2019-08-31 00:00:00",22959.936590031644
"2019-09-01 00:00:00",23212.69183023974
"2019-09-02 00:00:00",23461.599881690923
"2019-09-03 00:00:00",23650.810516583155
"2019-09-04 00:00:00",23766.823625029825
"2019-09-05 00:00:00",23940.350851029983
"2019-09-06 00:00:00",23942.4386582359
"2019-09-08 00:00:00",23951.302518293167
"2019-09-09 00:00:00",23952.001560884433
"2019-09-10 00:00:00",23953.138670166227
