"DateTime","2600 - Consumption driving","2601 - Consumption driving","2602 - Consumption driving","2603 - Consumption driving","2604 - Consumption driving","2605 - Consumption driving","2606 - Consumption driving","2607 - Consumption driving","2608 - Consumption driving","2609 - Consumption driving","2610 - Consumption driving","2611 - Consumption driving","2612 - Consumption driving","2613 - Consumption driving"
"2022-10-06 00:00:00",,,0.9926450532436313,,,,,0.2838202814850734,,1.6916064659432275,,,1.699910733281283,1.8302928171867967
"2022-10-07 00:00:00",,,1.6168325357120519,1.4705010017362474,,,,1.4613653236440363,,1.7691533616676223,,,1.7149854607531483,1.6593853353025056
"2022-10-10 00:00:00",,,,2.1316569872593227,,,,1.477626227776896,1.8945378031686773,1.5563325478758787,,,,1.5652462014392832
"2022-10-11 00:00:00",,,1.338005583895246,2.178879533671921,,,,1.8995818613551314,1.8858648000565135,1.3716315197450384
"2022-10-12 00:00:00",,,1.6232581954351561,1.8431866142219344,,,1.6836347531005296,1.530211404152311,1.4613940248678297,1.3712331543509249,1.290666534655897,,1.5830523209247198
"2022-10-13 00:00:00",,,,,,,1.5687781840791473,1.7351259063554394,,1.506066386472965,,,1.5982136645503968,1.5498319878020366
"2022-10-14 00:00:00",,,1.980946241923957,1.77449625507505,,,1.6706999487727336,1.4322079444372255,,1.7400359875729285,,1.4394704800303129,1.4831540561425134,1.4368972986889181
"2022-10-17 00:00:00",,,,,,1.9178459790779177,1.4319732538551173,1.4928069310248115,1.8260398954771873,1.4760245417196787,1.4639271066706456,1.5359688299147116,1.6764983020347268,1.6819531378353358
"2022-10-18 00:00:00",,,1.4448695739187782,1.5657373371124612,,,1.6081546940774478,1.0565212934372954,1.6104486558692417,1.6086745971161562,,1.4747058538290632,1.63417418384463,1.5394385374642836
"2022-10-19 00:00:00",,,0.6974176279165232,1.9337683986800547,,,1.9870157555022947,1.5555422345107504,,1.6440519276924201,,1.4607319443645599,1.7424401466627704,1.626621657534918
"2022-10-20 00:00:00",,,1.777773424535535,1.5089981762530016,,,1.6652700304807777,1.447410409071205,1.8005261666406238,1.736088223961352,,,1.6474080254761023,1.5280926274359006
"2022-10-21 00:00:00",,,,,,,1.496109797716499,1.8175017293175841,1.727538545597484,1.5184456454326611,,1.7021001690469542,1.67336690200148,1.5961394411387206
"2022-10-24 00:00:00",,,,,,,1.462633350524072,1.4703011397638923,0.7912124415075427,1.4694279957159193,,1.6939774270824721,,1.6736870688043624
"2022-10-25 00:00:00",,1.7347470178692665,,1.4531452049924618,,,1.6489130726597676,,1.7100290498630502,1.4542098141989992,1.2847923005692639,1.475774606686827,,1.6473827071110507
"2022-10-26 00:00:00",,1.7536631429222471,,1.6200431764183931,,,1.5688012006167293,1.483147861576858,2.0743831852036996,1.569022099469999,1.2035882810049405,,1.4813930780922746,1.6814052636540489
"2022-10-27 00:00:00",,1.5241587403521242,,1.2745729566204003,,,1.3521056294696683,0.4356013737182769,1.344276350803876,1.510852526958833,1.16682942194849,,1.5746074642710286,1.5909777190474714
"2022-10-28 00:00:00",,1.58142233806608,,1.2803874393444556,,,1.6740189383978454,,,1.662423141428391,,,1.7566371129918745,1.6996949768481793
"2022-10-31 00:00:00",,,,,,,1.4214390984687786,1.686996626477685,,1.4434311418976418,,,1.4767948969504148,1.6462004197273916
"2022-11-01 00:00:00",,1.531704217172738,1.6478505778046932,1.7090751571589198,,,1.6072774863679742,,1.272967705769994,1.5335789411531753,,,1.6976928868994272,1.6494814467417331
"2022-11-02 00:00:00",,1.5465444917555755,1.3911350920107053,1.9801632085596974,,,1.558663826107752,1.4482211903866813,,1.5228380209045327,,,1.6636504598694781,1.7232801235753636
"2022-11-03 00:00:00",,1.527085392357254,1.995933929843768,1.4689780701048083,,,1.6478944019254151,1.3833143860145853,,1.6938070999490507,,,1.5621682712118898,1.8158030245082437
"2022-11-04 00:00:00",,1.5939890970740531,1.7559767470786298,,,,1.527396021078858,,,1.4484016449862236,,,1.55868524631636,1.5476670172288782
