"DateTime","2605 - ODO","2605 - Energy consumed driving"
"2019-04-26 00:00:00",8332.988472321642,1.90736
"2019-04-29 00:00:00",8415.550062634216,197.86111
"2019-05-01 00:00:00",8716.539582987052,230.52665586206888
"2019-05-02 00:00:00",8867.364590789788,336.79071751247386
"2019-05-03 00:00:00",9023.797895291498,390.3666466254572
"2019-05-05 00:00:00",9024.012268352819,0.6908499999999549
"2019-05-06 00:00:00",9163.625990780409,224.17896180000002
"2019-05-07 00:00:00",9325.17845780641,383.8575718000002
"2019-05-08 00:00:00",9528.690376305738,478.2389971428572
"2019-05-09 00:00:00",9690.802587886741,334.10117285714296
"2019-05-10 00:00:00",9779.360410204406,203.03051000000005
"2019-05-11 00:00:00",9779.453615883242,0.15200999999979103
"2019-05-12 00:00:00",9779.52818042631,0.20710000000008222
"2019-05-13 00:00:00",9953.316382327208,424.4423700000002
"2019-05-14 00:00:00",10101.466808836396,337.19365862565155
"2019-05-15 00:00:00",10213.627415891197,236.00311137434846
"2019-05-16 00:00:00",10393.01011181959,424.07401436363716
"2019-05-17 00:00:00",10520.395266642805,307.0223571832621
"2019-05-18 00:00:00",10521.019744691004,1.163078453100752
"2019-05-19 00:00:00",10684.1141483735,387.01480999999967
"2019-05-20 00:00:00",10818.992086216494,326.31514999999945
"2019-05-21 00:00:00",10921.89736936292,233.29485999999997
"2019-05-22 00:00:00",11046.10325697924,262.0426232531836
"2019-05-23 00:00:00",11198.671632665235,336.1524567468168
"2019-05-24 00:00:00",11296.233123558419,225.5005200000005
"2019-05-25 00:00:00",11353.268785293883,113.61250999999993
"2019-05-26 00:00:00",11353.585684601925,0.45715999999993073
"2019-05-27 00:00:00",11354.2039489382,2.1736399999999776
"2019-05-28 00:00:00",11544.032848166706,499.6064100000003
"2019-05-29 00:00:00",11701.391995744849,357.7114300000003
"2019-05-30 00:00:00",11825.09767955142,302.93997000000036
"2019-05-31 00:00:00",11978.007809393144,358.49442
"2019-06-02 00:00:00",11978.86219478247,1.2573499999998603
"2019-06-03 00:00:00",12139.436938280442,352.8338899999999
"2019-06-04 00:00:00",12140.605116121847,1.6122099999993225
"2019-06-05 00:00:00",12267.426976457487,292.4287599999989
"2019-06-06 00:00:00",12457.460928179431,521.1489961570678
"2019-06-07 00:00:00",12604.182200946472,320.8119038429322
"2019-06-09 00:00:00",12604.371719160104,0.527009999999791
"2019-06-10 00:00:00",12793.576140340412,484.26973
"2019-06-11 00:00:00",12857.29464924839,168.22383999999875
"2019-06-12 00:00:00",12953.563688061718,247.010839999999
"2019-06-13 00:00:00",13035.979256144117,182.09164000000055
"2019-06-14 00:00:00",13129.141438996261,186.79019999999946
"2019-06-16 00:00:00",13129.551543983138,0.7883700000002136
"2019-06-17 00:00:00",13227.650520957608,252.5918500000007
"2019-06-18 00:00:00",13293.357417680743,151.6577099999995
"2019-06-19 00:00:00",13422.068246440786,291.8250700000008
"2019-06-20 00:00:00",13496.101517139903,149.90721000000121
"2019-06-21 00:00:00",13599.85186510777,255.9791699999987
"2019-06-22 00:00:00",13829.297291318699,534.0723455999996
"2019-06-23 00:00:00",13973.193425395688,306.30878440000015
"2019-06-24 00:00:00",14098.76322277897,277.50328691297545
"2019-06-25 00:00:00",14289.027081842041,446.62699308702395
"2019-06-26 00:00:00",14465.658056947426,389.1179800000009
"2019-06-27 00:00:00",14503.387715740077,88.5987499999992
"2019-06-28 00:00:00",14670.129568321005,372.553609999999
"2019-06-29 00:00:00",14670.698122961901,1.1180999999996857
"2019-06-30 00:00:00",14670.92803030303,0.3077800000010029
"2019-07-01 00:00:00",14828.647573172671,377.85701999999947
"2019-07-02 00:00:00",15003.582204923248,424.93461000000025
"2019-07-03 00:00:00",15095.706697884354,262.94059000000016
"2019-07-04 00:00:00",15191.459998608128,235.51871000000028
"2019-07-05 00:00:00",15382.04075697924,475.1938600000012
"2019-07-06 00:00:00",15382.264450608447,0.5640300000013667
"2019-07-07 00:00:00",15382.469503101884,0.4963599999991857
"2019-07-08 00:00:00",15561.971213115405,448.54817
"2019-07-09 00:00:00",15733.86112602402,434.9904800000004
"2019-07-10 00:00:00",15854.332572774994,288.89478999999847
"2019-07-11 00:00:00",15942.433687266364,206.7727399999967
"2019-07-12 00:00:00",16090.13672651714,361.5703199999989
"2019-07-14 00:00:00",16090.835769108406,1.0247600000002421
"2019-07-15 00:00:00",16324.176186073331,555.4395476794853
"2019-07-16 00:00:00",16573.662933468542,569.2050823205136
"2019-07-17 00:00:00",16681.176600327377,221.70106999999916
"2019-07-18 00:00:00",16820.41254076195,302.845036081133
"2019-07-19 00:00:00",17031.666318698797,465.4309939188679
"2019-07-22 00:00:00",17169.77538674143,325.11810193972997
"2019-07-23 00:00:00",17261.415210172592,209.74492806027047
"2019-07-24 00:00:00",17469.465819613455,554.3000834433042
"2019-07-25 00:00:00",17581.499045573848,229.93582655669525
"2019-07-26 00:00:00",17811.564836355683,574.3671292016188
"2019-07-27 00:00:00",17811.772995705083,0.3122307983794599
"2019-07-28 00:00:00",17813.3885608049,3.6569200000012643
"2019-07-29 00:00:00",18026.92587787322,534.9622575820467
"2019-07-30 00:00:00",18284.42209993637,636.4315627427095
"2019-07-31 00:00:00",18486.311814006203,421.87819179537473
"2019-08-01 00:00:00",18636.155477014236,341.1377378798679
"2019-08-02 00:00:00",18679.766414141413,80.19224537800619
"2019-08-03 00:00:00",18780.931857949574,267.08833462199254
"2019-08-04 00:00:00",19025.739680267237,616.4300999999978
"2019-08-05 00:00:00",19201.305003777936,447.50508000000264
